m_size,time_OT_Basic,time_OT_Extension,time_OT_Extension_Transpose,time_OT_Extension_Eklundh,time_OT_Extension_Eklundh_Multithreaded
4,0,0.06,0.06,0.06,0.07
8,0,0.11,0.09,0.06,0.07
16,0,0.07,0.07,0.07,0.07
32,0,0.06,0.06,0.06,0.06
64,0,0.06,0.06,0.06,0.06
128,0,0.07,0.07,0.06,0.06
256,0,0.06,0.06,0.06,0.06
512,0,0.07,0.06,0.07,0.07
1024,0,0.08,0.13,0.10,0.13
2048,0,0.09,0.12,0.10,0.10
4096,0,0.11,0.10,0.10,0.10
8192,0,0.14,0.13,0.13,0.12
16384,0,0.23,0.19,0.20,0.19
32768,0,0.49,0.35,0.40,0.33
65536,0,1.19,0.59,0.60,0.66
131072,0,2.27,1.42,1.96,1.92
262144,0,7.16,2.85,2.22,2.05
524288,0,7.97,5.15,5.14,3.60
1048576,0,14.20,8.74,8.20,7.29
2097152,0,26.46,17.25,15.34,13.43
4194304,0,57.00,36.24,41.47,29.80
8388608,0,125.63,78.55,67.47,54.19
